537649475494215690:{"name":"luktvpl","score":"4912"}
727228972294864998:{"name":"-physicist","score":"2105"}
430446087996964875:{"name":"Kamieniek","score":"4713"}
801454391831822336:{"name":"Piter90","score":"310"}
564344149814542348:{"name":"!                       Svyka","score":"2604"}
743860714623598733:{"name":"Lomekkkk","score":"2075"}
944895008295751691:{"name":"Racuch","score":"75"}
704318693856903308:{"name":"𝕂𝕣𝕫𝕪𝕤𝕚𝕦","score":"3980"}
822342061687832597:{"name":"kubuśek21","score":"2485"}
842103005267886120:{"name":"ARROW_SZEF","score":"1730"}
772725323019059200:{"name":"kdiablo","score":"3885"}
688844180990328925:{"name":"molo","score":"3008"}
875735276419420211:{"name":"matymcio3","score":"1175"}
970670956802613249:{"name":"Żabka","score":"2546"}
922480572272627742:{"name":"Foxelek","score":"855"}
918867650761879583:{"name":"Haribobo","score":"2795"}
943165137269973027:{"name":"poziomkee","score":"2759"}
690469828347035649:{"name":"Misiek","score":"4065"}
799255275155619840:{"name":"PietrenionComeBack","score":"3409"}
777880468384382997:{"name":"tombers","score":"1107"}
789142953754361906:{"name":"ogórek","score":"1957"}
378235383395385364:{"name":"Król Dogeł","score":"3164"}
905138756800098334:{"name":"ZatrutyMiecz1337","score":"1660"}
585526948864720928:{"name":"AmongCat","score":"4197"}
707912023819812874:{"name":"Reso","score":"1280"}
931073718996836352:{"name":"Makumba bob","score":"1379"}
981579823409405962:{"name":"Dawczokoks2","score":"1130"}
821735202459746304:{"name":"DrDonutek","score":"1225"}
972207961235652708:{"name":"twojastara157","score":"1295"}
651136603766390794:{"name":"Neks_0_0","score":"785"}
859782975666520064:{"name":"Mieszko","score":"630"}
845766715550728222:{"name":"lisek","score":"530"}
712994811765850124:{"name":"Woolp","score":"925"}
859467652976476170:{"name":"Martin_Frog","score":"1640"}
421940490100015125:{"name":"Snazzy","score":"1130"}
840174543456567326:{"name":"ⓀⒶⓇⒸⒾⒺ","score":"1300"}
552174655000018945:{"name":"zjadacz kebabow","score":"730"}
927272556388548630:{"name":"Bujak","score":"2503"}
457850827764138005:{"name":"Xercoh","score":"1070"}
819848855180148748:{"name":"KAPI","score":"2365"}
767118073302876201:{"name":"n0rty","score":"290"}
968421147156840478:{"name":"NormalPerson","score":"4213"}
904381161051131974:{"name":"TakiGracjaneg","score":"2712"}
387652792317247488:{"name":"Katze","score":"0"}
575616575265308672:{"name":"Bulwa","score":"50"}
946441217460301835:{"name":"yeti kotleti cover by marta","score":"0"}
734364355839262731:{"name":"Movmiq","score":"2409"}
777955146051223582:{"name":"Radus22","score":"3615"}
784026417167073291:{"name":"Kroulek","score":"310"}
942936855081533450:{"name":"Proximal","score":"200"}
980229632722874368:{"name":"Kozakowskyy","score":"1524"}
879900062426234900:{"name":"MlodyXannax","score":"2697"}
918878249453514795:{"name":"_Marceel___","score":"1970"}
505436641599422464:{"name":"Czaro","score":"4725"}
465232958161420329:{"name":"xykacper","score":"1600"}
786888253361881129:{"name":"tosia to kot","score":"2509"}
961672752157323265:{"name":"KaQu","score":"3689"}
661590238606655488:{"name":"Crystal","score":"620"}
732874258442879036:{"name":"Brzdąc","score":"430"}
888686736471883806:{"name":"BestError","score":"1575"}
768538797872381962:{"name":"no01name01","score":"2247"}
976398649011609620:{"name":"Typeczek7362","score":"3265"}
993199605967749140:{"name":"alexzzzz","score":"100"}
801002001022451722:{"name":"☢Źdichu☢","score":"3749"}
864538508310741002:{"name":"xby","score":"1725"}
756530068481769612:{"name":"MEFJUtheBEST","score":"3235"}
763427269372280884:{"name":"Dinozaur Pimpus","score":"965"}
797075142358073344:{"name":"wrona130","score":"2012"}
930780300471046144:{"name":"Remek.kox","score":"190"}
780070513401659392:{"name":"xx_špēddær_xx","score":"1150"}
933089487674826823:{"name":"Deksiak","score":"1225"}
570856451355049994:{"name":"kokainawnosie","score":"2820"}
944856128825745439:{"name":"wojjtix","score":"2907"}
700782370818621560:{"name":"ミニオン17","score":"1712"}
828588854733701142:{"name":"Adamix309_","score":"260"}
994228829541380117:{"name":"Orzeszko roblox","score":"2882"}
776388362289938473:{"name":"spajk160","score":"1905"}
897521984974512168:{"name":"Vanomik","score":"3002"}
836984587464474646:{"name":"Razox","score":"145"}
554283791716319232:{"name":"bob budowniczy","score":"1680"}
833739383298588672:{"name":"Hunter_FURRY","score":"3212"}
832909141492236289:{"name":"oceanic12","score":"1385"}
447085040451715072:{"name":"Samolot","score":"1085"}
590916581102452781:{"name":"!MłodyJeżyk","score":"1370"}
980144376204386394:{"name":"patikson","score":"1415"}
796127799332700222:{"name":"シ«1luvmee»シ","score":"60"}
787349057742962778:{"name":"lolek..","score":"585"}
748494248642347018:{"name":"( ͡° ͜ʖ ͡°)bagietka","score":"25"}
815574635235246091:{"name":"Team Wojtek","score":"600"}
901162505534070844:{"name":"𝓶𝓪𝓬𝓲𝓮𝓴シ","score":"1900"}
834724700181102653:{"name":"Golombusss","score":"490"}
814939154605015040:{"name":"hiszpan","score":"410"}
593100232376582145:{"name":"Piotr2001PL","score":"690"}
967804316482162780:{"name":"qvba_","score":"3459"}
911578680214552576:{"name":"skare","score":"0"}
909689037395214367:{"name":"𝕯𝖜𝖚𝖐𝖗𝖔𝖕𝖊𝖐𝕯𝖊𝖊","score":"0"}
743098262143107083:{"name":"imperator","score":"1170"}
817673444665196584:{"name":"Niko 2137","score":"1952"}
771751331009658891:{"name":"mamut","score":"105"}
799618376733032479:{"name":"fryderyk","score":"1455"}
969351068653846710:{"name":"Deal","score":"80"}
505074038503374869:{"name":"Oskar","score":"860"}
683296395783831564:{"name":"bartuziobruhuzio","score":"2225"}
833654532545314857:{"name":"| Kamiru |","score":"415"}
947034346748014652:{"name":"◇●■JA■●◇","score":"1030"}
890921708758925356:{"name":"real2","score":"1920"}
938776783870894131:{"name":"Skozzikt","score":"2995"}
678510246200868864:{"name":"Hapciel","score":"1680"}
920015575508455464:{"name":"Toster","score":"2115"}
562626728778792960:{"name":"! Black Lista","score":"2557"}
535209849739280415:{"name":"wxnderr","score":"25"}
912366045652746361:{"name":"only1_KajaK","score":"570"}
781499506050072597:{"name":"Sebixo_","score":"170"}
548205552208052224:{"name":"Batix","score":"530"}
630512423165493260:{"name":"Fifixu","score":"3690"}
532629924171874323:{"name":"Toxsi","score":"25"}
962693633016999968:{"name":"zeres..","score":"2376"}
801181768346107925:{"name":"𝐎xymi","score":"300"}
951411682213765130:{"name":"Oficer Ziemniao","score":"1947"}
712360830762745899:{"name":"0_CrazyWorld_0","score":"3380"}
814857122168832020:{"name":"szymek","score":"1450"}
458651484863725568:{"name":"Daniell","score":"1920"}
875047172427644989:{"name":"domin","score":"2545"}
744078582674096149:{"name":"zlezlo","score":"4204"}
764520670310301706:{"name":"user93746284","score":"2600"}
974931943571464213:{"name":"rimekv2","score":"3277"}
951125432579809303:{"name":"ZabeMan","score":"3896"}
905102175913517116:{"name":"tzkrk","score":"3150"}
773535881331081217:{"name":"смурф","score":"3641"}
950343007960453170:{"name":"Buka","score":"4980"}
867008185918685224:{"name":"MGS","score":"3442"}
871091787610091570:{"name":"ᴍɪᴋɪ IՏ 𝗠𝗲","score":"3273"}
987011936048795689:{"name":"ROLOUKU","score":"470"}
847139244128731148:{"name":"Mob bimber","score":"2058"}
764427299122184203:{"name":"Krymech","score":"2930"}
726385793077084210:{"name":"kalokru.aimstar","score":"1030"}
665620082122031136:{"name":"Patryk","score":"3547"}
819958250941972481:{"name":"ddosuje","score":"670"}
769868230768066571:{"name":"sussek","score":"2752"}
692431655679295558:{"name":"Cukiere_q","score":"1720"}
694609504708591707:{"name":"Mousze","score":"605"}
689843854135918623:{"name":"MARCELIX157","score":"60"}
891206985104637973:{"name":"R7SR2","score":"720"}
925328061740757002:{"name":"spocony_kubuś.exe","score":"895"}
794259590064635936:{"name":"fleschu","score":"4481"}
838165896681226250:{"name":"SKaY0s","score":"1645"}
816935796669546566:{"name":"xdlolszymon","score":"2038"}
855171499119214600:{"name":"Mikolisek","score":"3697"}
411938556714680331:{"name":"wwwmcw","score":"3831"}
914233889520754738:{"name":"FaTiMeKXD","score":"2311"}
928251325463003176:{"name":"mikq","score":"2270"}
870714233996853318:{"name":"Cebula","score":"740"}
679069171094388819:{"name":"DaVid","score":"3669"}
747089356614926426:{"name":"ERON_16PL","score":"3119"}
930924682964783104:{"name":"itzSzymo","score":"3680"}
935974139926282261:{"name":"Quba","score":"1035"}
844276967083212821:{"name":"Kaszper","score":"630"}
774227691330600982:{"name":"BezMajtek ツ","score":"3767"}
879632829749788753:{"name":"Potężny Sqwerek","score":"1707"}
929756944066023454:{"name":"GrzybuS580","score":"4019"}
971856809688191076:{"name":"TenSernix","score":"1990"}
621653619435110410:{"name":"bradley108","score":"3128"}
746784425257468066:{"name":"Gracjan0","score":"995"}
966785338355875852:{"name":"Kajrowskyyy","score":"35"}
451049330988679178:{"name":"mufie","score":"405"}
699263145201500196:{"name":"Dremeq","score":"3968"}
970622044926521425:{"name":"VexePogu","score":"1420"}
751883830310469683:{"name":"BlackNinja","score":"0"}
835584493812318248:{"name":"ksawery","score":"3235"}
880729057648590868:{"name":"Skorpionek","score":"2406"}
682621746205163610:{"name":"ღMlodziutkiღ","score":"2742"}
820703266173878303:{"name":"jezyksoNN_","score":"2932"}
726783393010024458:{"name":"WyrafinowanyParalizator","score":"2918"}
789172597526364210:{"name":"Senpaiek","score":"2450"}
816213471230165003:{"name":"✞Siopek3236²¹¹⁵","score":"3504"}
902139331291009054:{"name":"r4thm","score":"2251"}
527193021062709250:{"name":"Wymagro","score":"850"}
869157987267256321:{"name":"-venus","score":"3032"}
730496243934953584:{"name":"Kalafior","score":"730"}
852616746921361438:{"name":"ddos4u","score":"3373"}
986000219294531675:{"name":"LUCA","score":"565"}
991731216481001623:{"name":"Diaxik7","score":"4046"}
863385172452179968:{"name":"davex2.0","score":"1290"}
746372342044819527:{"name":"Kijaszek","score":"1660"}
799109345270300673:{"name":"Neeqz","score":"455"}
675665511240957952:{"name":"maciejos","score":"2850"}
598799007971672087:{"name":"Vebitxz","score":"4409"}
735085996944916561:{"name":"Sfab","score":"4037"}
780121649840128050:{"name":"ĔÚŚŤĂČĤŶ","score":"3867"}
597891586772303932:{"name":"krys","score":"4105"}
934777978536218644:{"name":"tsuyoshi_420","score":"1866"}
918819862669832224:{"name":"rej5670","score":"3890"}
909463624819556426:{"name":"Hubert","score":"4015"}
953021280259567628:{"name":"ketohi55","score":"115"}
809519240972861491:{"name":"Nietoperzyk","score":"3468"}
769210693215715369:{"name":"Mikox88","score":"1970"}
771135447632052264:{"name":"soroko ඞ","score":"2572"}
675122229750530066:{"name":"! backup","score":"2753"}
780878686223990784:{"name":"t4xcc","score":"330"}
800390518127329330:{"name":"9105364","score":"3656"}
881783603418238986:{"name":"Nie Jestem Edzio","score":"4090"}
490456769437499402:{"name":"Piol","score":"3641"}
860913239956652043:{"name":"major","score":"190"}
892709620227932181:{"name":"matii13412","score":"1860"}
754645008799367248:{"name":"Tazu","score":"3602"}
546616488337866764:{"name":"IGNESIK","score":"3065"}
991709708417253437:{"name":"janek","score":"2946"}
852707473147166790:{"name":";D","score":"2997"}
788053575385088030:{"name":"_Dominik387_","score":"3368"}
880509064973529129:{"name":"Kamo1337 [Cat Client DEVELOPER]","score":"3765"}
541579341461585941:{"name":"*Ciukaj*","score":"920"}
696067455595839519:{"name":"2137_ms","score":"750"}
909538297653653545:{"name":"misztys","score":"2430"}
993868560269049917:{"name":"Kuzii","score":"3364"}
921519087853649941:{"name":"szymonk201pl","score":"2208"}
774550933739929630:{"name":"Torru","score":"3140"}
933753992046055504:{"name":"BARTEK123963","score":"1375"}
958364430658314360:{"name":"Enderman","score":"1510"}
971407804101427200:{"name":"xlabradur1337","score":"1660"}
959718306481307708:{"name":"Nigersik","score":"2858"}
798297204103446599:{"name":"kurczak","score":"105"}
847080177854447657:{"name":"Świety_BoBo","score":"1806"}
335491716142333953:{"name":"Maczko","score":"4594"}
971477461260963930:{"name":"elo_mordo","score":"3495"}
660387132250128417:{"name":"Bluret","score":"2719"}
485496391926546452:{"name":"宙斯","score":"1725"}
428246055264714773:{"name":"AlucarD","score":"410"}
925306291117764610:{"name":"Papiez2137","score":"4511"}
427505231937404942:{"name":",Ghost","score":"4284"}
857269794772221962:{"name":"Pan_Rzuska_信息技术技术员","score":"445"}
758309584841998386:{"name":"! juzkar","score":"2295"}
851358684301885452:{"name":"karmelek_poprostu","score":"2989"}
752572308341653545:{"name":"demonek","score":"3417"}
853566075756347402:{"name":"$𝕦𝕔𝕙𝕪","score":"3458"}
839387294238900264:{"name":"Polski chleb","score":"2273"}
564769333427830796:{"name":"przebita","score":"3985"}
574321465088802831:{"name":"Zeusek","score":"2943"}
816187674867925003:{"name":"Prostek","score":"3284"}
898120042770731028:{"name":"ɹǝʎɐןԀoɹԀ(⁰▿⁰)","score":"0"}
490154683197947904:{"name":"Boyka","score":"4332"}
605689305599442956:{"name":"KubuŚ","score":"3151"}
878310944088940546:{"name":"Ezik 2115","score":"1325"}
694803357696524380:{"name":"Patko","score":"3464"}
764020977356374037:{"name":"igipromonster","score":"965"}
625697361267523604:{"name":"Marcello_Adamek","score":"800"}
932340154738311228:{"name":"Qvqere","score":"400"}
782894813367238678:{"name":"ognisty64","score":"4002"}
716391587025780824:{"name":"wojskowy_20","score":"2153"}
764902769085513748:{"name":"Blackni!?a<3","score":"460"}
625243787345526785:{"name":"Drukevivardienasliquarte","score":"3526"}
770643261941481543:{"name":"kaczka","score":"1395"}
911986912376520786:{"name":"bobin","score":"2682"}
855723430338363393:{"name":"!%𝓐𝓝𝓞𝓝𝓘𝓜𝓔𝓚%!","score":"2875"}
758710035240452097:{"name":"Kaje","score":"165"}
822019261579919360:{"name":"po prostu Adam","score":"3043"}
719885205925527625:{"name":"Ravi Ravi","score":"2260"}
808322140331966536:{"name":"Young nono","score":"0"}
853262281139159061:{"name":"Dansw","score":"1723"}
959746867061739571:{"name":"sebixonッ","score":"0"}
709864910238122045:{"name":"Olobolo001","score":"720"}
785897281471119361:{"name":"SayRadzio","score":"1490"}
713702036650197114:{"name":"gila.pl","score":"310"}
742104849121935394:{"name":"Rafix","score":"670"}
632191871124373534:{"name":"merabetter","score":"3915"}
676498698590486578:{"name":"Baniol","score":"2515"}
975087748891435028:{"name":"Kriss game","score":"265"}
503999311709732876:{"name":"ƱK4m1lPolskaƱ","score":"2820"}
921858961215475772:{"name":"ebenezersil","score":"790"}
468774940934406155:{"name":"KubaMorinkton","score":"2643"}
798689641682960456:{"name":"Neztis (Nezover)","score":"15"}
721090135508254761:{"name":"2115","score":"3077"}
844232401277943850:{"name":"Kubuś","score":"405"}
778688296573730826:{"name":"Krystian","score":"3177"}
796357834887528489:{"name":"KilledByCps","score":"15"}
595334927294398464:{"name":"Koxo","score":"2710"}
915682366289227786:{"name":"Kisiel JD","score":"635"}
850079403278204958:{"name":"Kanapka","score":"4100"}
852202395130789938:{"name":"Pop tart","score":"360"}
609093132264669224:{"name":"Tru","score":"1330"}
988730766315913227:{"name":"Wejotek","score":"2857"}
733374805172289637:{"name":"Raptorek_","score":"3450"}
587763380052426764:{"name":"FUGASOLO","score":"3130"}
567043189614051368:{"name":"Pandol","score":"2922"}
816583838243356744:{"name":"Tajny_0wca","score":"1925"}
342630172190703618:{"name":"lil chad","score":"3036"}
977600779240218704:{"name":"NINE","score":"3095"}
647897529039716409:{"name":"KeiDi","score":"250"}
751208191282512012:{"name":"Nie_Ma","score":"3785"}
972125935778279434:{"name":"Kaczucha_PKP","score":"275"}
755412668453748737:{"name":"xsawi","score":"1752"}
640554564281565196:{"name":"Kapi","score":"1610"}
439570180922802178:{"name":"Karnoś","score":"1978"}
832693465736937562:{"name":"Tms_Filip69[A-T-X]","score":"3512"}
618025230782169088:{"name":"Voni","score":"190"}
701683513191039066:{"name":"exe.logopeda","score":"505"}
906559514822725723:{"name":"zFeNoMeN","score":"4805"}
938467080079040592:{"name":"Turek🇹🇷","score":"365"}
947160094938894346:{"name":"_gadziodrugi_","score":"2843"}
934736525533540412:{"name":"ZjArAnY GIBBON","score":"310"}
723503839176556575:{"name":"Oliwier","score":"300"}
953620636520026113:{"name":"ziombrelo","score":"2600"}
936936283069100063:{"name":"BadWuWusXD","score":"1780"}
599996172677152768:{"name":"xLisiasty","score":"675"}
960897055679733801:{"name":"tego typu","score":"730"}
710051902473371700:{"name":"Nieprzytomny","score":"2237"}
879444267188252722:{"name":"Ziemnior🍥","score":"2171"}
800319655397949490:{"name":"TOMEK123","score":"605"}
766943318184558604:{"name":"yoda","score":"3350"}
969537493940707348:{"name":"Wikmas999","score":"55"}
950667425232351313:{"name":"Beluga_polska","score":"2066"}
743001158322487346:{"name":"szczupak pospolity","score":"1525"}
868812182345883718:{"name":"Antos01","score":"2980"}
912959671877390336:{"name":"jam jest oskar","score":"1957"}
925085985585389578:{"name":"zer0","score":"55"}
959072152550789141:{"name":"Piaskowy_","score":"505"}
499984729815384067:{"name":"Depresyjny__","score":"305"}
976450256143278100:{"name":"..Fajny...Typ...","score":"895"}
517383956015087616:{"name":"sprawdzamadminow","score":"3250"}
876420163661086731:{"name":"Wormax","score":"2734"}
705392931888037920:{"name":"Bartek","score":"710"}
805009496149458944:{"name":"kubeczek_ale_zapomiałem_hasła","score":"2346"}
823145901248741416:{"name":"matierek12","score":"200"}
913917255656554596:{"name":"kurchix","score":"3140"}
794983985913528371:{"name":"Šhibä Tv","score":"625"}
795324313435111435:{"name":"Marcelam","score":"915"}
986701642546184202:{"name":"kicek","score":"965"}
727815420568010812:{"name":"Oskar","score":"775"}
762288829453172767:{"name":"Kubus","score":"20"}
930466321769066567:{"name":"Bezijzo_YT","score":"1450"}
734015888738746400:{"name":"Neex","score":"1158"}
992065116088582145:{"name":"Kropek2137","score":"3596"}
962723297009762404:{"name":"Alexis","score":"3177"}
797537877403238451:{"name":"Filipix20","score":"310"}
971459512487780453:{"name":"b3t0ni4sty","score":"760"}
570298146912075816:{"name":"BladeAndPuffer","score":"1330"}
765574605045628971:{"name":"!     sm8ke_","score":"1225"}
799546593568751646:{"name":"Yes.","score":"495"}
952286552174780427:{"name":"owszi <3","score":"635"}
967354241956077670:{"name":"Kᵠ_tᴏʳⁱ","score":"3313"}
715640313812746248:{"name":"Minex","score":"685"}
816376320870711336:{"name":"Car ϟ♛King ♛      么ＴＲＯＮ亗","score":"2038"}
784867135662194740:{"name":"frist-_-tail110","score":"2511"}
766586420478345267:{"name":"ᏢᎪᏃᎥᎾᏒ","score":"200"}
866622929614012456:{"name":"Nexonek","score":"3638"}
689038844200353829:{"name":"Kumalala","score":"250"}
907875082997755945:{"name":"Popielacz","score":"3424"}
970395713265618984:{"name":"22czareeek","score":"570"}
802943779127820288:{"name":"TESCO","score":"10"}
950772343469375528:{"name":"xmaciex","score":"3709"}
929549073160241163:{"name":"Fr3žžu","score":"3892"}
775773850868121622:{"name":"Landrys","score":"520"}
352400492913098753:{"name":"Sebcio","score":"4250"}
533614134047277066:{"name":"miałhał","score":"4623"}
900777511049388043:{"name":"CrowexPL","score":"3745"}
845347326050041877:{"name":"Pinokio","score":"2298"}
721673622778937344:{"name":"¦Franklin¦","score":"685"}
528992298642702336:{"name":"👾Kocia👾猫🌆","score":"1923"}
775224966836125716:{"name":"Minecreaft","score":"1345"}
975111427968888853:{"name":"ocicdiidks03","score":"1475"}
713328430170767402:{"name":"tenoox","score":"2298"}
728883085306757122:{"name":"MichoGames","score":"535"}
757205042678726706:{"name":"janeq","score":"3389"}
807595593152200714:{"name":"× 𝕯𝖆𝖗𝖐 𝕬𝖓𝖌𝖊𝖑 ×","score":"3357"}
952568438595932250:{"name":"ghcggvgg","score":"0"}
561629887954419754:{"name":"Thagn","score":"3681"}
989587532985552927:{"name":"Texturito","score":"775"}
692004116410531860:{"name":"Strefiaczek","score":"725"}
688762033650532375:{"name":"SZYCHA","score":"1245"}
995054858774257795:{"name":"Karandiru","score":"1225"}
439871996067708928:{"name":"okok","score":"4173"}
638320120942297088:{"name":"! 𝓟𝓪𝓩𝓩𝓲","score":"2075"}
993438534667096134:{"name":"BIG DADDY","score":"230"}
698538647875485817:{"name":"Kacpergeams","score":"80"}
744837731120840705:{"name":"Floopa-pro","score":"720"}
885139725193740289:{"name":"Davvv13","score":"765"}
471643207655096320:{"name":"haikoi","score":"3822"}
605351327480021003:{"name":"Dragbox","score":"225"}
855515455313281024:{"name":"X_X_Mulan_X_X","score":"2708"}
582265447584497721:{"name":"//GB Meo\\","score":"2937"}
909025597366349834:{"name":"-[ Łybcia ]-","score":"760"}
983963791417036801:{"name":"Grabeusz","score":"2932"}
837329907423903744:{"name":"kapi","score":"1285"}
713770547720355965:{"name":"Kam Hacker✔","score":"3695"}
799963724940705843:{"name":"Elezar","score":"805"}
961318417690931230:{"name":"MajorLama1705","score":"685"}
710996510258495520:{"name":"のぞき穴","score":"3096"}
934585916914278473:{"name":"♕✰xℂ𝕪𝕣𝕖𝕩x✰♕","score":"0"}
677527332663328779:{"name":"OZK","score":"2393"}
608332002088976385:{"name":"Kubus__Puchatek","score":"320"}
784144302602715156:{"name":"natan","score":"2918"}
861327164702982174:{"name":"Makoleq12","score":"1436"}
879325857347407902:{"name":"ᴡɪxᴄɪᴏ2𝙺ネ","score":"2423"}
974977016422105089:{"name":"𝕊𝕡𝟘𝕔𝕠𝕟𝕪_𝕃𝕚𝕗𝟜𝕟𝕥𝕠𝕤","score":"3407"}
862072745206087690:{"name":"Mort.banan","score":"3416"}
779747377883906079:{"name":"Weronika","score":"1741"}
980252066117214269:{"name":"alkixe","score":"2357"}
923120403440889936:{"name":"Malovek","score":"810"}
810074170796015646:{"name":"† ѕєנrΘχ †","score":"3082"}
762032339991658536:{"name":"Hans Jäger","score":"2999"}
995356479769034802:{"name":"capybara.j","score":"2070"}
985926718332227595:{"name":"niewidoczny88","score":"1755"}
765199027137675305:{"name":"Adrian_(◔‿◔)","score":"1956"}
936022487416856616:{"name":"maciuswpme","score":"1934"}
916464395142438942:{"name":"X_20ka3ol22_X","score":"2312"}
475930891919818754:{"name":"᲼᲼᲼᲼᲼᲼᲼᲼᲼᲼᲼᲼᲼᲼᲼᲼᲼᲼᲼᲼᲼᲼᲼᲼᲼","score":"2835"}
544181969941037066:{"name":"just farmer","score":"2721"}
910559436651782186:{"name":"kmoddd","score":"4029"}
697813358455291914:{"name":"ksw555","score":"3159"}
804393016882233344:{"name":"Kuboleg","score":"3310"}
681600469373943835:{"name":"Zaglada","score":"325"}
574201627246985216:{"name":"Pieseł82","score":"3540"}
835607279826239518:{"name":"Marcel","score":"3795"}
864865478476431431:{"name":"QRU","score":"360"}
975410763017646100:{"name":"goup.ts","score":"3269"}
982639691494981653:{"name":"kenzv2","score":"790"}
814222351088353282:{"name":"TAP1","score":"4219"}
762307709604331520:{"name":"Radjas14","score":"750"}
